from,to,realtionship ,time ,rang ,AK,price_money
caemi,london2024,1,02:06:46,3,H,22.500
mamah ,london2024,1,02:07:05,4,H,15.000
chhas ,london2024,1,02:07:30,5,30,10.000
jeper,london2024,1,02:16:16,1,30,55.000
astig,london2024,1,02:16:23,2,H,30.000
jejoy,london2024,1,02:16:24,3,30,22.500
almeg ,london2024,1,02:16:34,4,H,15.000
kobri,london2024,1,02:19:02,5,30,10.000
kikel,london2023,1,02:01:25,1,H,55.000
kageo,london2023,1,02:04:23,2,30,30.000
totam,london2023,1,02:04:59,3,30,22.500
geleu,london2023,1,02:05:45,4,30,15.000
tuabd,london2023,1,02:06:38,5,H,10.000
hasif,london2023,1,02:18:33,1,30,55.000
meale,london2023,1,02:18:37,2,H,30.000
jeper,london2023,1,02:18:38,3,30,22.500
chshe ,london2023,1,02:18:52,4,30,15.000
yeyal,london2023,1,02:18:53,5,H,10.000
